Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Dur	Nep	Ratio	Inter	startTime
0	4	3	3	1	1	2	1	1	0	0	1	1	0	2	3	4	5	0	0	0	4	0	0	0	490
1	2	2	3	1	3	1	1	1	2	0	1	0	0	2	4	5	5	0	0	0	3	0	0	0	495
1	3	3	3	1	3	1	0	1	1	2	3	4	4	2	3	4	2	4	0	0	1	0	0	0	405
0	1	0	3	0	3	1	1	1	2	1	5	5	4	5	0	0	0	0	0	0	4	0	0	0	460
3	3	0	3	1	3	1	1	1	2	1	3	1	1	1	3	3	2	4	0	0	1	0	0	0	570
3	3	0	3	1	3	1	0	0	1	2	3	1	1	1	3	3	2	4	0	0	1	0	0	0	525
2	3	0	3	1	3	2	1	1	2	2	5	4	4	4	2	0	0	3	0	0	2	0	0	0	450
4	1	3	3	1	0	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	3	0	0	0	497
0	0	0	3	1	0	0	1	0	0	1	2	0	0	1	3	5	5	4	0	0	2	0	0	0	395
0	1	0	3	0	1	0	0	1	2	1	5	5	5	5	0	0	0	0	0	0	3	1	1	1	485
0	1	0	3	0	0	1	1	1	2	1	5	5	5	5	1	0	0	1	0	0	2	0	0	0	585
4	2	2	3	1	1	2	0	1	2	0	0	0	0	0	5	5	5	5	0	0	3	0	0	0	495
3	1	0	3	2	0	1	1	1	2	2	0	1	0	0	4	5	4	5	0	0	3	0	0	0	450
1	2	1	3	1	3	2	1	1	2	0	4	4	3	1	4	3	3	4	0	0	2	0	0	0	510
2	3	3	4	1	3	2	1	1	2	2	4	3	1	2	2	3	3	3	0	0	4	0	0	0	500
2	3	3	4	1	3	2	0	1	2	2	4	3	1	2	2	3	3	3	0	0	0	0	0	0	550
2	2	1	4	1	2	1	1	1	2	0	1	2	0	1	3	0	0	4	0	0	1	0	0	0	560
1	2	0	4	1	3	2	1	1	2	0	4	4	4	3	1	1	1	1	0	0	1	1	4	3	465
0	2	2	4	1	3	1	1	1	2	0	5	5	4	5	0	0	0	0	0	0	4	0	0	0	438
1	3	0	4	0	2	1	1	1	2	1	5	4	4	5	3	3	3	0	0	0	1	1	3	4	480
3	2	2	4	1	0	1	1	1	2	0	4	4	2	2	0	1	1	4	0	0	4	0	0	0	430
1	1	0	4	1	2	1	1	1	2	2	5	5	4	4	2	2	0	4	0	0	4	0	0	0	470
4	3	0	4	1	3	2	0	1	2	2	1	1	0	1	0	0	5	0	0	0	3	1	1	0	495
3	3	2	4	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	0	0	0	0	540
2	3	3	4	1	1	1	1	1	2	1	3	1	2	2	4	3	3	3	0	0	2	0	0	0	480
4	3	0	4	2	3	1	1	1	2	1	0	0	1	0	5	5	4	5	0	0	1	0	0	0	495
2	3	3	5	1	3	1	1	1	2	1	1	4	3	3	2	1	2	3	0	0	0	0	0	0	490
3	3	3	5	1	2	1	1	1	2	1	0	0	0	0	5	5	4	5	0	0	4	0	0	0	505
3	3	3	5	1	2	1	0	1	1	2	0	0	0	0	5	5	4	5	0	0	1	0	0	0	398
1	3	0	5	1	1	0	1	0	2	2	2	0	0	2	0	3	4	0	0	0	2	0	0	0	525
1	3	0	5	1	1	0	0	0	2	2	2	0	0	2	0	3	4	0	0	0	4	0	0	0	380
0	1	0	6	0	2	1	0	1	2	0	5	5	5	5	1	1	0	0	0	0	3	0	0	0	525
0	3	0	6	2	0	0	1	1	1	1	5	4	4	5	2	2	2	0	0	0	3	0	0	0	437
2	1	0	6	1	0	1	0	1	1	1	0	3	2	1	5	5	5	5	0	0	1	0	0	0	510
3	2	2	0	1	2	1	1	1	2	0	1	0	0	1	0	3	5	4	0	0	3	0	0	0	440
3	2	2	0	1	2	1	0	1	0	2	1	0	0	1	0	3	5	4	0	0	0	0	0	0	510
2	1	0	0	0	1	1	1	1	2	0	4	1	4	2	4	3	3	0	0	0	1	0	0	0	615
4	3	2	0	1	1	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	3	0	0	0	410
2	3	3	0	1	3	1	1	1	2	1	3	4	3	1	0	0	0	0	0	0	4	0	0	0	390
2	2	1	0	1	0	1	1	1	2	0	1	3	0	1	3	3	5	4	0	0	3	0	0	0	405
3	3	1	0	1	3	2	1	1	2	1	0	1	0	0	5	5	5	5	0	0	3	0	0	0	480
3	3	1	0	1	3	2	0	1	1	2	0	1	0	0	5	5	5	5	0	0	1	0	0	0	520
3	3	2	0	1	3	2	0	1	1	2	1	0	0	1	0	0	5	0	0	0	1	0	0	0	535
2	4	0	0	3	0	1	1	1	0	0	0	0	0	0	5	5	5	5	0	0	0	1	2	3	585
0	1	0	0	0	2	0	0	1	2	0	5	5	4	5	0	0	0	0	0	0	3	1	1	0	483
4	3	3	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	1	4	1	465
1	3	0	0	2	2	2	1	1	1	1	1	1	3	1	2	4	4	5	0	0	3	0	0	0	500
3	3	0	0	1	1	2	1	1	2	1	2	1	0	1	2	0	2	3	0	0	2	0	0	0	430
0	1	0	0	0	3	1	0	1	2	2	5	5	5	5	1	1	0	0	0	0	4	0	0	0	510
2	3	0	0	1	3	2	1	1	2	1	3	2	0	1	0	0	2	3	0	0	2	0	0	0	500
0	3	0	0	1	2	1	1	1	2	2	5	5	5	5	0	0	0	0	0	0	3	0	0	0	422
0	3	0	0	0	2	1	0	1	2	2	5	5	5	5	0	0	0	0	0	0	2	0	0	0	475
3	3	0	0	0	3	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	3	0	0	0	400
3	3	0	0	0	3	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	4	0	0	0	530
4	3	2	0	1	2	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	4	0	0	0	415
1	3	0	0	0	2	1	0	1	2	2	3	4	4	3	4	3	2	4	0	0	4	0	0	0	500
1	3	0	0	0	2	1	1	1	2	2	3	4	4	3	4	3	2	4	0	0	3	0	0	0	490
1	3	1	0	1	3	1	1	1	2	1	3	5	4	4	3	4	2	3	0	0	4	0	0	0	425
1	3	1	0	1	3	1	0	1	1	2	3	5	4	4	3	4	2	3	0	0	4	0	0	0	465
2	3	0	0	2	3	2	1	1	2	1	3	4	2	2	3	3	2	3	0	0	1	0	0	0	460
2	3	0	0	2	3	2	0	1	1	2	3	4	2	2	3	3	2	3	0	0	2	0	0	0	490
2	3	1	0	1	2	1	1	1	2	1	3	3	2	1	4	3	3	4	0	0	3	1	1	1	500
3	2	2	0	1	2	2	1	1	2	0	1	1	1	1	2	0	5	3	0	0	3	0	0	0	470
3	2	1	0	1	1	1	1	1	2	0	1	0	0	1	2	2	5	3	0	0	1	0	0	0	615
3	2	1	0	1	1	1	0	1	0	2	1	0	0	1	2	2	5	3	0	0	1	0	0	0	585
4	1	0	0	2	1	1	0	1	1	0	0	0	0	0	5	5	5	5	0	0	2	1	2	1	480
2	1	0	0	1	0	0	0	0	2	0	1	4	3	1	4	4	3	4	0	0	4	0	0	0	410
4	3	3	0	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	4	0	0	0	475
1	4	0	0	1	1	1	1	1	0	0	3	1	2	2	0	0	2	1	0	0	2	0	0	0	550
1	4	0	0	1	1	1	0	1	0	0	3	1	2	2	0	0	2	1	0	0	0	0	0	0	512
2	1	0	0	1	1	1	1	1	2	0	3	1	1	3	4	3	3	0	0	0	4	0	0	0	440
1	3	2	0	1	3	1	0	1	1	2	5	4	3	4	4	3	3	4	0	0	1	0	0	0	487
1	2	1	0	1	3	2	1	1	1	0	4	4	4	4	3	3	3	4	0	0	1	0	0	0	480
0	3	2	0	1	3	2	1	1	2	1	5	4	4	5	3	3	0	0	0	0	3	0	0	0	540
0	3	2	0	1	3	2	0	1	1	2	5	4	4	5	3	3	0	0	0	0	3	0	0	0	460
2	3	1	0	1	3	1	1	1	2	1	4	4	4	4	1	1	0	1	0	0	3	0	0	0	475
3	2	0	0	1	3	1	1	1	2	0	0	4	1	0	5	5	5	5	0	0	2	1	2	2	450
3	2	0	0	1	3	1	0	1	0	2	0	4	1	0	5	5	5	5	0	0	0	0	0	0	480
2	2	0	0	1	2	2	1	1	2	0	4	4	1	2	4	4	4	4	0	0	2	0	0	0	430
3	2	2	0	1	3	2	1	1	2	0	2	1	0	1	0	0	2	3	0	0	3	1	3	2	430
4	3	0	0	1	3	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	2	0	0	0	485
1	3	0	0	0	2	2	1	1	2	2	4	4	4	3	4	3	3	4	0	0	1	0	0	0	570
1	3	0	0	0	2	2	0	1	2	2	4	4	4	3	4	3	3	4	0	0	2	0	0	0	545
2	3	2	0	1	3	1	1	1	2	1	3	4	3	2	2	2	2	4	0	0	2	0	0	0	480
0	3	0	0	0	3	2	1	1	2	2	5	4	4	5	3	3	0	2	0	0	4	0	0	0	470
3	4	0	0	2	2	1	1	1	0	0	1	0	0	1	4	3	3	4	0	0	2	0	0	0	545
4	3	1	0	1	1	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	2	0	0	0	505
4	1	0	0	1	1	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	3	0	0	0	420
0	3	2	0	1	3	1	1	1	2	2	3	4	4	4	1	3	0	0	0	0	3	0	0	0	525
0	3	2	0	1	3	1	0	1	2	2	3	4	4	4	1	3	0	0	0	0	1	0	0	0	520
2	2	2	0	0	0	1	1	1	2	0	1	3	2	1	2	2	4	3	0	0	2	0	0	0	495
4	3	1	0	1	2	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	4	0	0	0	430
3	2	0	0	2	3	2	1	1	2	0	2	1	0	1	0	0	2	0	0	0	1	0	0	0	475
3	2	0	0	2	3	2	0	1	0	2	2	1	0	1	0	0	2	0	0	0	0	0	0	0	600
1	2	0	0	2	3	2	1	1	2	0	3	1	0	4	3	5	4	0	0	0	2	0	0	0	480
4	3	3	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	4	0	0	0	490
1	1	0	0	1	3	1	1	1	2	0	1	3	1	1	3	4	4	4	0	0	2	0	0	0	465
3	4	1	0	0	2	2	1	1	0	0	0	0	0	0	5	5	0	5	0	0	2	0	0	0	500
3	4	1	0	0	2	2	0	1	0	0	0	0	0	0	5	5	0	5	0	0	4	0	0	0	480
1	2	0	0	2	3	1	1	1	2	0	5	5	4	4	4	3	3	1	0	0	3	0	0	0	463
0	2	0	0	2	2	1	0	1	1	0	5	4	4	5	1	3	1	2	0	0	3	0	0	0	485
2	3	1	0	0	1	2	0	1	1	2	3	2	0	1	2	1	4	3	0	0	2	0	0	0	555
1	3	0	0	1	1	1	0	1	2	2	5	5	4	4	1	1	0	2	0	0	2	0	0	0	505
2	2	0	0	2	1	1	0	1	0	1	2	1	0	1	3	0	5	4	0	0	0	0	0	0	538
1	3	0	0	1	3	1	1	1	2	1	4	4	3	4	1	0	0	0	0	0	2	1	2	1	490
1	3	0	0	0	3	1	0	1	1	2	4	4	3	4	1	0	0	0	0	0	4	0	0	0	515
0	1	0	0	1	1	1	0	1	2	1	5	5	4	5	3	3	2	0	0	0	0	0	0	0	525
4	3	0	0	2	3	1	1	1	2	1	1	0	0	0	5	5	5	5	0	0	4	0	0	0	483
4	3	0	0	1	3	1	0	1	1	2	1	0	0	0	5	5	5	5	0	0	4	1	4	3	486
1	3	0	0	0	3	2	0	1	2	2	3	3	3	3	0	0	0	1	0	0	2	0	0	0	530
0	1	0	0	1	2	0	0	1	2	2	5	5	5	5	0	0	0	0	0	0	2	1	2	1	469
2	1	0	0	1	1	1	1	1	2	2	2	1	1	2	1	4	3	0	0	0	2	0	0	0	445
4	3	0	0	1	2	1	1	0	2	2	0	0	0	0	5	5	5	5	0	0	1	0	0	0	500
4	2	3	0	1	3	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	0	0	0	465
3	2	0	0	1	2	2	1	1	1	0	0	0	0	0	5	5	5	5	0	0	3	0	0	0	435
2	3	0	0	2	3	2	1	1	2	1	2	2	2	0	4	3	3	4	0	0	2	0	0	0	505
3	3	0	0	1	1	2	1	1	2	1	3	3	1	1	4	3	3	4	0	0	0	0	0	0	452
3	3	0	0	0	1	2	0	1	1	2	3	3	1	1	4	3	3	4	0	0	0	0	0	0	540
0	1	3	0	1	1	0	0	0	2	0	3	5	4	4	2	3	3	0	0	0	2	0	0	0	445
