Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration	Ratio	Durbreak
3	3	0	0	2	3	2	0	1	1	2	1	1	0	0	5	0	5	0	0	0	1	1	50
0	1	0	0	1	3	1	1	1	2	0	4	4	4	5	3	3	2	0	0	0	2	3	70
3	3	3	0	1	3	1	1	1	2	1	2	1	0	1	1	1	4	2	0	0	2	3	61
4	2	0	0	2	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	1	60
4	2	0	0	2	3	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	3	2	35
2	1	0	0	0	2	1	0	1	2	1	3	2	0	1	4	3	4	4	0	0	2	2	50
0	3	0	0	1	3	2	1	1	2	2	5	5	5	5	1	1	1	0	0	0	1	1	250
3	3	1	0	0	2	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	4	1	32
3	3	3	0	1	3	2	1	1	2	2	1	1	1	1	4	4	3	4	0	0	1	4	115
3	3	0	0	0	2	1	0	1	2	2	1	1	0	0	4	4	3	4	0	0	1	3	65
4	3	1	0	1	2	1	0	1	1	1	0	0	0	0	5	5	5	5	0	0	1	4	165
1	3	0	0	2	1	1	0	1	2	2	5	4	2	4	2	2	2	0	0	0	1	3	65
1	3	3	0	1	3	1	1	1	1	2	5	4	4	5	0	0	0	0	0	0	1	1	50
2	3	1	0	1	3	2	0	1	1	2	2	1	0	2	4	3	2	4	0	0	1	4	25
3	4	0	0	2	1	1	1	1	0	0	1	0	0	0	5	5	5	5	0	0	1	1	35
2	3	2	0	1	3	1	1	1	2	1	1	1	3	1	0	5	5	0	0	0	2	3	40
4	2	0	0	1	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	1	1	60
1	3	0	0	0	3	1	1	1	2	2	3	2	1	2	0	3	1	2	0	0	2	1	40
0	1	3	0	1	1	1	1	1	2	2	1	4	4	1	4	3	2	4	0	0	1	3	125
0	2	0	0	1	3	2	1	1	2	0	5	5	4	5	2	2	2	3	0	0	4	3	225
0	2	0	0	1	3	2	0	1	0	2	5	5	4	5	2	2	2	3	0	0	4	3	225
3	1	0	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	2	53
3	1	0	0	1	3	1	1	1	2	1	1	0	0	0	5	5	5	5	0	0	1	1	30
4	3	0	0	1	3	2	0	1	1	2	1	0	0	0	2	5	5	5	0	0	2	1	55
4	2	0	0	2	3	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	3	120
3	3	3	0	1	3	1	1	1	2	1	3	1	1	2	3	2	2	4	0	0	2	2	60
1	2	2	0	1	2	1	1	1	2	0	5	4	4	2	3	3	2	4	0	0	3	2	35
3	3	3	0	1	3	1	0	1	1	2	1	0	0	1	0	0	0	1	0	0	2	1	55
