Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration	Ratio	
3	2	1	0	0	1	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	54
3	2	0	0	2	2	1	1	1	2	0	1	0	0	1	0	0	5	3	0	0	2	42
1	3	0	0	1	3	2	0	1	2	2	1	3	2	2	4	5	3	4	0	0	3	62
1	1	0	0	1	3	1	0	1	2	0	3	3	2	2	4	3	3	4	0	0	3	57
0	3	2	0	1	3	2	0	1	1	0	4	4	4	4	4	3	3	4	0	0	1	51
3	2	0	0	1	2	1	1	1	2	0	1	0	0	0	5	5	5	5	0	0	2	57
4	2	0	0	2	3	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	49
1	1	0	0	1	3	1	1	1	2	0	2	4	4	2	3	3	4	4	0	0	2	55
2	1	0	0	1	1	1	1	1	2	2	2	1	0	1	4	4	5	3	0	0	3	18
3	3	0	0	2	3	2	0	1	1	2	1	1	0	0	5	0	5	0	0	0	1	32
0	1	0	0	1	3	1	1	1	2	0	4	4	4	5	3	3	2	0	0	0	2	58
3	3	3	0	1	3	1	1	1	2	1	2	1	0	1	1	1	4	2	0	0	2	56
4	2	0	0	2	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	45
4	2	0	0	2	3	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	3	55
2	1	0	0	0	2	1	0	1	2	1	3	2	0	1	4	3	4	4	0	0	2	52
0	3	0	0	1	3	2	1	1	2	2	5	5	5	5	1	1	1	0	0	0	1	43
3	3	1	0	0	2	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	4	40
3	3	3	0	1	3	2	1	1	2	2	1	1	1	1	4	4	3	4	0	0	1	80
3	3	0	0	0	2	1	0	1	2	2	1	1	0	0	4	4	3	4	0	0	1	62
4	3	1	0	1	2	1	0	1	1	1	0	0	0	0	5	5	5	5	0	0	1	73
1	3	0	0	2	1	1	0	1	2	2	5	4	2	4	2	2	2	0	0	0	1	62
1	3	3	0	1	3	1	1	1	1	2	5	4	4	5	0	0	0	0	0	0	1	47
2	3	1	0	1	3	2	0	1	1	2	2	1	0	2	4	3	2	4	0	0	1	74
