Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration
3	3	2	0	1	3	2	0	1	1	2	1	0	0	1	0	0	5	0	0	0	365
2	4	0	0	3	0	1	1	1	0	0	0	0	0	0	5	5	5	5	0	0	255
0	1	0	0	0	2	0	0	1	2	0	5	5	4	5	0	0	0	0	0	0	534
4	3	3	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	375
1	3	0	0	2	2	2	1	1	1	1	1	1	3	1	2	4	4	5	0	0	530
3	3	0	0	1	1	2	1	1	2	1	2	1	0	1	2	0	2	3	0	0	470
0	1	0	0	0	3	1	0	1	2	2	5	5	5	5	1	1	0	0	0	0	570
2	3	0	0	1	3	2	1	1	2	1	3	2	0	1	0	0	2	3	0	0	505
0	3	0	0	1	2	1	1	1	2	2	5	5	5	5	0	0	0	0	0	0	544
0	3	0	0	0	2	1	0	1	2	2	5	5	5	5	0	0	0	0	0	0	480
3	3	0	0	0	3	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	530
3	3	0	0	0	3	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	560
4	3	2	0	1	2	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	560
1	3	0	0	0	2	1	0	1	2	2	3	4	4	3	4	3	2	4	0	0	566
1	3	0	0	0	2	1	1	1	2	2	3	4	4	3	4	3	2	4	0	0	530
1	3	1	0	1	3	1	1	1	2	1	3	5	4	4	3	4	2	3	0	0	690
1	3	1	0	1	3	1	0	1	1	2	3	5	4	4	3	4	2	3	0	0	570
2	3	0	0	2	3	2	1	1	2	1	3	4	2	2	3	3	2	3	0	0	350
2	3	0	0	2	3	2	0	1	1	2	3	4	2	2	3	3	2	3	0	0	500
2	3	1	0	1	2	1	1	1	2	1	3	3	2	1	4	3	3	4	0	0	534
3	2	2	0	1	2	2	1	1	2	0	1	1	1	1	2	0	5	3	0	0	535
3	2	1	0	1	1	1	1	1	2	0	1	0	0	1	2	2	5	3	0	0	420
3	2	1	0	1	1	1	0	1	0	2	1	0	0	1	2	2	5	3	0	0	290
4	1	0	0	2	1	1	0	1	1	0	0	0	0	0	5	5	5	5	0	0	502
2	1	0	0	1	0	0	0	0	2	0	1	4	3	1	4	4	3	4	0	0	580
4	3	3	0	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	590
1	4	0	0	1	1	1	1	1	0	0	3	1	2	2	0	0	2	1	0	0	470
1	4	0	0	1	1	1	0	1	0	0	3	1	2	2	0	0	2	1	0	0	208
2	1	0	0	1	1	1	1	1	2	0	3	1	1	3	4	3	3	0	0	0	565
1	3	2	0	1	3	1	0	1	1	2	5	4	3	4	4	3	3	4	0	0	443
1	2	1	0	1	3	2	1	1	1	0	4	4	4	4	3	3	3	4	0	0	435
0	3	2	0	1	3	2	1	1	2	1	5	4	4	5	3	3	0	0	0	0	525
0	3	2	0	1	3	2	0	1	1	2	5	4	4	5	3	3	0	0	0	0	530
2	3	1	0	1	3	1	1	1	2	1	4	4	4	4	1	1	0	1	0	0	535
3	2	0	0	1	3	1	1	1	2	0	0	4	1	0	5	5	5	5	0	0	510
3	2	0	0	1	3	1	0	1	0	2	0	4	1	0	5	5	5	5	0	0	195
2	2	0	0	1	2	2	1	1	2	0	4	4	1	2	4	4	4	4	0	0	500
3	2	2	0	1	3	2	1	1	2	0	2	1	0	1	0	0	2	3	0	0	540
4	3	0	0	1	3	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	515
1	3	0	0	0	2	2	1	1	2	2	4	4	4	3	4	3	3	4	0	0	430
1	3	0	0	0	2	2	0	1	2	2	4	4	4	3	4	3	3	4	0	0	475
2	3	2	0	1	3	1	1	1	2	1	3	4	3	2	2	2	2	4	0	0	510
0	3	0	0	0	3	2	1	1	2	2	5	4	4	5	3	3	0	2	0	0	640
3	4	0	0	2	2	1	1	1	0	0	1	0	0	1	4	3	3	4	0	0	505
4	3	1	0	1	1	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	515
4	1	0	0	1	1	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	525
0	3	2	0	1	3	1	1	1	2	2	3	4	4	4	1	3	0	0	0	0	525
0	3	2	0	1	3	1	0	1	2	2	3	4	4	4	1	3	0	0	0	0	380
2	2	2	0	0	0	1	1	1	2	0	1	3	2	1	2	2	4	3	0	0	495
4	3	1	0	1	2	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	575
3	2	0	0	2	3	2	1	1	2	0	2	1	0	1	0	0	2	0	0	0	455
3	2	0	0	2	3	2	0	1	0	2	2	1	0	1	0	0	2	0	0	0	150
1	2	0	0	2	3	2	1	1	2	0	3	1	0	4	3	5	4	0	0	0	510
4	3	3	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	560
1	1	0	0	1	3	1	1	1	2	0	1	3	1	1	3	4	4	4	0	0	480
3	4	1	0	0	2	2	1	1	0	0	0	0	0	0	5	5	0	5	0	0	490
3	4	1	0	0	2	2	0	1	0	0	0	0	0	0	5	5	0	5	0	0	600
1	2	0	0	2	3	1	1	1	2	0	5	5	4	4	4	3	3	1	0	0	537
0	2	0	0	2	2	1	0	1	1	0	5	4	4	5	1	3	1	2	0	0	545
2	3	1	0	0	1	2	0	1	1	2	3	2	0	1	2	1	4	3	0	0	475
1	3	0	0	1	1	1	0	1	2	2	5	5	4	4	1	1	0	2	0	0	515
2	2	0	0	2	1	1	0	1	0	1	2	1	0	1	3	0	5	4	0	0	242
1	3	0	0	1	3	1	1	1	2	1	4	4	3	4	1	0	0	0	0	0	520
1	3	0	0	0	3	1	0	1	1	2	4	4	3	4	1	0	0	0	0	0	565
0	1	0	0	1	1	1	0	1	2	1	5	5	4	5	3	3	2	0	0	0	205
4	3	0	0	2	3	1	1	1	2	1	1	0	0	0	5	5	5	5	0	0	587
4	3	0	0	1	3	1	0	1	1	2	1	0	0	0	5	5	5	5	0	0	708
1	3	0	0	0	3	2	0	1	2	2	3	3	3	3	0	0	0	1	0	0	520
0	1	0	0	1	2	0	0	1	2	2	5	5	5	5	0	0	0	0	0	0	516
2	1	0	0	1	1	1	1	1	2	2	2	1	1	2	1	4	3	0	0	0	515
4	3	0	0	1	2	1	1	0	2	2	0	0	0	0	5	5	5	5	0	0	415
4	2	3	0	1	3	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	480
3	2	0	0	1	2	2	1	1	1	0	0	0	0	0	5	5	5	5	0	0	525
2	3	0	0	2	3	2	1	1	2	1	2	2	2	0	4	3	3	4	0	0	495
3	3	0	0	1	1	2	1	1	2	1	3	3	1	1	4	3	3	4	0	0	148
3	3	0	0	0	1	2	0	1	1	2	3	3	1	1	4	3	3	4	0	0	90
0	1	3	0	1	1	0	0	0	2	0	3	5	4	4	2	3	3	0	0	0	495
1	3	0	0	1	3	2	0	1	2	2	3	1	1	2	0	3	4	0	0	0	520
1	3	0	0	1	3	2	1	1	2	2	3	1	1	2	0	3	4	0	0	0	490
4	4	3	0	2	3	2	1	0	0	0	3	1	0	2	4	4	3	4	0	0	540
2	3	2	0	1	3	1	1	1	2	1	4	4	4	3	0	2	2	3	0	0	545
2	3	2	0	1	3	1	0	1	1	2	4	4	4	3	0	2	2	3	0	0	390
4	3	1	0	1	2	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	520
0	3	0	0	1	2	2	1	1	2	2	5	5	4	5	0	3	3	1	0	0	500
0	3	0	0	1	2	2	0	1	2	2	5	5	4	5	0	3	3	1	0	0	470
3	2	0	0	1	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	630
3	3	1	0	1	3	2	1	1	2	1	1	0	0	0	5	5	5	5	0	0	515
1	3	1	0	0	2	2	1	1	2	1	5	5	4	4	3	0	2	4	0	0	420
1	2	0	0	2	3	0	1	1	2	0	1	0	1	1	3	4	2	3	0	0	458
2	1	0	0	2	3	0	0	1	2	0	3	4	2	2	4	3	3	3	0	0	460
1	3	2	0	1	3	1	1	1	2	1	5	4	4	4	0	0	1	1	0	0	489
4	3	1	0	0	1	1	0	1	1	1	0	0	0	0	5	5	5	5	0	0	530
1	1	0	0	1	3	0	1	1	2	1	5	5	4	5	0	1	1	0	0	0	555
3	1	0	0	0	1	1	0	1	2	0	1	2	3	2	4	4	4	4	0	0	310
3	2	2	0	1	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	517
4	3	1	0	0	1	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	270
1	3	1	0	1	3	1	1	1	2	2	1	3	4	2	4	5	2	3	0	0	560
1	3	1	0	0	3	1	0	1	2	2	1	3	4	2	4	5	2	3	0	0	520
0	1	0	0	1	1	0	1	0	1	2	5	5	5	5	0	0	2	1	0	0	265
1	1	2	0	1	3	1	1	1	2	2	5	4	4	5	3	2	3	4	0	0	550
2	3	0	0	0	3	1	1	1	2	2	4	4	4	2	0	2	2	0	0	0	565
2	3	0	0	0	3	1	0	1	2	2	4	4	4	2	0	2	2	0	0	0	500
2	3	0	0	1	3	2	0	1	2	0	0	4	4	0	5	5	4	5	0	0	520
2	3	1	0	1	2	1	1	1	2	1	3	1	1	2	4	3	0	4	0	0	550
2	3	1	0	1	2	1	0	1	1	2	3	1	1	2	4	3	0	4	0	0	525
0	1	0	0	1	3	1	0	1	2	0	5	5	5	5	0	1	1	0	0	0	510
0	1	0	0	0	0	0	0	0	2	0	5	4	4	5	1	1	0	1	0	0	510
0	4	0	0	3	1	1	1	1	0	0	1	1	1	3	4	3	3	2	0	0	225
0	2	0	0	0	3	2	1	1	2	0	5	5	5	5	1	0	0	1	0	0	510
3	4	0	0	3	1	1	1	1	0	0	0	0	0	0	5	5	5	5	0	0	465
3	3	1	0	0	2	1	0	0	1	2	1	1	0	1	0	0	4	0	0	0	150
2	3	0	0	1	3	2	1	1	2	2	3	1	1	2	1	1	1	3	0	0	455
2	3	0	0	1	3	2	0	1	2	2	3	1	1	2	1	1	1	3	0	0	640
2	3	1	0	1	2	1	1	1	2	1	2	1	0	2	3	2	4	4	0	0	567
3	2	0	0	2	1	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	370
0	2	1	0	1	3	1	0	1	0	2	5	5	4	5	3	3	0	0	0	0	214
0	2	1	0	1	3	1	1	1	2	0	5	5	4	5	3	3	0	0	0	0	535
3	2	1	0	1	2	1	1	1	2	0	1	0	0	1	2	1	5	3	0	0	435
1	3	0	0	0	3	2	0	1	2	2	5	4	4	4	4	3	3	0	0	0	520
1	3	0	0	0	3	2	1	1	2	2	5	4	4	4	4	3	3	0	0	0	620
1	3	2	0	0	1	0	1	0	1	1	3	3	2	3	3	2	2	4	0	0	240
3	3	0	0	2	1	2	1	1	2	1	1	0	0	1	4	0	5	0	0	0	555
3	3	0	0	1	1	2	0	1	1	2	1	0	0	1	4	0	5	0	0	0	376
0	1	1	0	1	2	1	0	1	2	1	5	5	5	5	0	0	0	0	0	0	488
4	3	1	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	525
1	4	2	0	1	0	1	1	1	0	0	5	5	4	3	0	0	0	0	0	0	280
1	1	2	0	1	0	1	0	1	1	0	1	3	2	2	4	4	4	0	0	0	530
4	3	0	0	0	3	1	0	1	2	2	0	0	0	0	5	5	5	5	0	0	530
3	3	1	0	1	3	2	1	1	2	1	1	1	0	1	4	3	4	4	0	0	480
3	3	1	0	1	3	2	0	1	1	2	1	1	0	1	4	3	4	4	0	0	420
1	2	0	0	2	1	2	1	1	2	0	5	4	3	3	0	1	3	0	0	0	540
3	3	2	0	1	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	545
3	3	2	0	1	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	522
3	2	0	0	2	0	1	0	1	1	0	3	1	0	2	0	0	3	0	0	0	390
4	3	0	0	1	2	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	535
4	3	0	0	1	2	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	575
0	3	0	0	1	2	1	0	0	1	2	3	4	4	4	0	1	0	0	0	0	465
3	3	3	0	1	3	1	0	1	2	2	1	1	0	1	4	0	5	0	0	0	530
3	3	3	0	1	3	1	1	0	2	2	1	1	0	1	4	0	5	0	0	0	551
1	3	0	0	0	2	1	0	1	2	2	5	4	4	4	4	3	3	0	0	0	545
1	3	0	0	0	2	1	1	1	2	2	5	4	4	4	4	3	3	0	0	0	552
1	3	0	0	1	3	1	1	1	2	1	5	5	5	5	0	0	0	3	0	0	517
1	3	0	0	1	3	1	0	1	1	2	5	5	5	5	0	0	0	3	0	0	540
4	3	2	0	1	1	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	490
2	1	3	0	1	3	1	0	1	2	0	3	4	4	3	4	4	4	3	0	0	480
3	3	1	0	1	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	405
1	3	1	0	1	3	2	1	1	2	1	5	4	3	3	2	4	3	3	0	0	390
4	3	2	0	1	1	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	560
2	2	0	0	2	3	1	1	1	2	0	3	4	1	1	4	4	3	4	0	0	545
4	2	0	0	1	2	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	545
2	3	3	0	1	3	2	0	1	1	0	0	3	4	1	4	4	2	4	0	0	158
3	2	2	0	1	0	1	1	1	2	0	3	3	1	1	1	1	1	2	0	0	498
3	3	2	0	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	510
3	3	2	0	1	3	2	0	1	1	2	0	0	0	0	5	5	5	5	0	0	500
4	3	3	0	1	3	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	615
2	2	2	0	1	2	1	1	1	2	0	5	4	4	4	3	3	2	0	0	0	560
3	2	0	0	1	3	2	0	1	2	0	1	1	0	1	5	0	0	2	0	0	615
1	1	0	0	1	2	1	0	1	2	0	5	5	4	5	4	3	2	4	0	0	555
3	3	0	0	1	3	2	1	1	2	2	3	1	0	2	0	0	5	1	0	0	595
3	3	0	0	0	3	2	0	1	2	2	3	1	0	2	0	0	5	1	0	0	570
3	3	2	0	1	1	2	1	1	2	1	1	2	0	1	4	4	4	4	0	0	610
1	3	1	0	0	3	2	1	1	2	1	3	2	1	2	1	3	1	2	0	0	510
1	1	0	0	1	3	2	1	1	2	1	1	1	2	1	4	5	5	5	0	0	255
2	3	1	0	1	2	1	1	1	2	1	3	0	0	1	1	3	5	4	0	0	435
2	3	1	0	1	2	1	0	1	1	2	3	0	0	1	1	3	5	4	0	0	520
2	2	0	0	1	1	2	0	1	0	2	3	3	1	2	3	3	2	2	0	0	290
2	1	0	0	1	0	0	1	0	2	2	4	4	4	3	4	3	3	0	0	0	600
4	2	1	0	1	0	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	510
3	2	0	0	1	3	2	1	1	2	0	0	0	1	0	5	5	4	5	0	0	575
2	3	0	0	1	3	2	0	1	1	2	1	3	2	1	1	1	1	2	0	0	545
2	3	0	0	1	3	2	1	1	2	1	1	3	2	1	1	1	1	2	0	0	485
4	2	2	0	1	3	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	545
4	3	0	0	0	2	1	0	1	2	2	0	0	0	0	5	5	5	5	0	0	500
4	3	0	0	0	2	1	1	1	2	2	0	0	0	0	5	5	5	5	0	0	465
2	3	1	0	0	3	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	490
2	3	1	0	0	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	480
4	3	0	0	1	3	2	0	1	1	2	0	0	0	0	5	5	5	5	0	0	480
2	3	1	0	0	3	2	0	1	1	2	4	3	2	2	4	3	2	4	0	0	510
3	2	0	0	2	1	2	0	1	0	2	0	0	0	0	5	5	5	5	0	0	540
2	3	0	0	2	2	1	1	1	1	1	3	3	4	1	0	0	0	3	0	0	425
2	3	0	0	2	2	1	0	1	1	1	3	3	4	1	0	0	0	3	0	0	465
4	3	0	0	0	1	1	1	1	2	2	0	4	2	0	5	5	5	5	0	0	550
4	2	0	0	1	1	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	420
0	3	1	0	0	3	1	1	1	2	2	5	5	4	5	0	0	0	1	0	0	615
3	3	1	0	0	2	1	1	1	2	1	3	1	0	2	0	0	3	0	0	0	560
